match_id,innings,batting_team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1445036,2,United States of America,SA Edwards,65,55,6,0,118.18,Yes,caught,,PA van Meekeren
1445036,2,United States of America,NRJ Croes,4,1,1,0,400.00,No,,,PA van Meekeren
1445036,2,United States of America,Shariz Ahmad,16,41,0,0,39.02,Yes,bowled,,PA van Meekeren
1445036,2,United States of America,K Klein,18,13,1,1,138.46,No,,,PA van Meekeren
1445036,2,United States of America,SR Taylor,0,3,0,0,0.00,Yes,lbw,,PA van Meekeren
1445036,2,United States of America,SK Patel,38,47,6,0,80.85,Yes,lbw,,PA van Meekeren
1445036,2,United States of America,MD Patel,0,4,0,0,0.00,Yes,caught,,PA van Meekeren
1445036,2,United States of America,Aaron Jones,47,73,6,0,64.38,Yes,caught,,PA van Meekeren
1445036,2,United States of America,Milind Kumar,69,83,4,1,83.13,Yes,caught,,PA van Meekeren
1445036,2,United States of America,Shayan Jahangir,20,25,2,0,80.00,Yes,caught and bowled,,PA van Meekeren
1445036,2,United States of America,SC van Schalkwyk,21,49,1,0,42.86,Yes,caught,,PA van Meekeren
1445036,2,United States of America,Harmeet Singh,1,13,0,0,7.69,Yes,caught,,PA van Meekeren
1445036,2,United States of America,Jasdeep Singh,1,2,0,0,50.00,Yes,caught,,PA van Meekeren
1445036,2,United States of America,NP Kenjige,4,10,0,0,40.00,Yes,bowled,,PA van Meekeren
1445036,2,United States of America,J Drysdale,0,0,0,0,0.00,No,,,PA van Meekeren
1445036,2,United States of America,United States of America,0,0,0,0,0.00,DNB,,,
1445036,2,United States of America,Netherlands,0,0,0,0,0.00,DNB,,,
1445037,2,Canada,M Levitt,0,6,0,0,0.00,Yes,caught,,PA van Meekeren
1445037,2,Canada,MP O'Dowd,18,30,3,0,60.00,Yes,lbw,,PA van Meekeren
1445037,2,Canada,Vikramjit Singh,25,27,5,0,92.59,Yes,caught,,PA van Meekeren
1445037,2,Canada,Musa Ahmed,8,23,0,0,34.78,Yes,caught,,PA van Meekeren
1445037,2,Canada,SA Edwards,72,94,3,0,76.60,Yes,caught,,PA van Meekeren
1445037,2,Canada,NRJ Croes,31,45,3,0,68.89,Yes,caught,,PA van Meekeren
1445037,2,Canada,Shariz Ahmad,19,29,2,0,65.52,Yes,caught,,PA van Meekeren
1445037,2,Canada,K Klein,10,18,0,0,55.56,Yes,caught,,PA van Meekeren
1445037,2,Canada,A Dutt,6,11,0,0,54.55,No,,,PA van Meekeren
1445037,2,Canada,PA van Meekeren,7,16,0,0,43.75,Yes,bowled,,PA van Meekeren
1445037,2,Canada,VJ Kingma,0,1,0,0,0.00,Yes,bowled,,PA van Meekeren
1445037,2,Canada,A Johnson,32,32,6,1,100.00,Yes,caught,,PA van Meekeren
1445037,2,Canada,DS Bajwa,20,28,3,0,71.43,Yes,bowled,,PA van Meekeren
1445037,2,Canada,Pargat Singh,5,6,1,0,83.33,Yes,caught,,PA van Meekeren
1445037,2,Canada,H Thaker,0,3,0,0,0.00,Yes,caught,,PA van Meekeren
1445037,2,Canada,NR Kirton,0,4,0,0,0.00,Yes,caught,,PA van Meekeren
1445037,2,Canada,S Movva,47,77,4,0,61.04,No,,,PA van Meekeren
1445037,2,Canada,Ravinderpal Singh,1,8,0,0,12.50,Yes,caught,,PA van Meekeren
1445037,2,Canada,Saad Bin Zafar,12,24,0,0,50.00,Yes,lbw,,PA van Meekeren
1445037,2,Canada,D Heyliger,14,20,2,0,70.00,Yes,lbw,,PA van Meekeren
1445037,2,Canada,Kaleem Sana,4,7,1,0,57.14,Yes,caught,,PA van Meekeren
1445037,2,Canada,Junaid Siddiqui,5,19,0,0,26.32,Yes,lbw,,PA van Meekeren
1445037,2,Canada,Netherlands,0,0,0,0,0.00,DNB,,,
1445037,2,Canada,Canada,0,0,0,0,0.00,DNB,,,
1445038,2,Canada,Steven Ryan Taylor,46,81,5,0,56.79,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,SK Patel,70,85,11,0,82.35,Yes,lbw,,SC van Schalkwyk
1445038,2,Canada,MD Patel,26,35,2,0,74.29,Yes,bowled,,SC van Schalkwyk
1445038,2,Canada,Aaron Jones,50,53,3,1,94.34,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,Milind Kumar,47,33,5,0,142.42,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,Shayan Jahangir,10,14,0,0,71.43,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,Harmeet Singh,2,2,0,0,100.00,No,,,SC van Schalkwyk
1445038,2,Canada,SC van Schalkwyk,6,3,1,0,200.00,Yes,run out,,SC van Schalkwyk
1445038,2,Canada,Jasdeep Singh,3,2,0,0,150.00,Yes,run out,,SC van Schalkwyk
1445038,2,Canada,A Johnson,10,17,2,0,58.82,Yes,lbw,,SC van Schalkwyk
1445038,2,Canada,DS Bajwa,8,18,1,0,44.44,Yes,bowled,,SC van Schalkwyk
1445038,2,Canada,Pargat Singh,72,83,7,1,86.75,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,NR Kirton,9,18,1,0,50.00,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,H Thaker,0,4,0,0,0.00,Yes,caught and bowled,,SC van Schalkwyk
1445038,2,Canada,S Movva,68,97,6,0,70.10,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,Aaditya Varadarajan,25,34,0,0,73.53,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,D Heyliger,2,6,0,0,33.33,Yes,bowled,,SC van Schalkwyk
1445038,2,Canada,Saad Bin Zafar,5,6,0,0,83.33,No,,,SC van Schalkwyk
1445038,2,Canada,Kaleem Sana,4,4,0,0,100.00,Yes,caught,,SC van Schalkwyk
1445038,2,Canada,RR Joshi,3,4,0,0,75.00,Yes,bowled,,SC van Schalkwyk
1445038,2,Canada,United States of America,0,0,0,0,0.00,DNB,,,
1445038,2,Canada,Canada,0,0,0,0,0.00,DNB,,,
1445039,2,United States of America,M Levitt,33,40,4,1,82.50,Yes,bowled,,K Klein
1445039,2,United States of America,MP O'Dowd,77,129,6,0,59.69,Yes,caught,,K Klein
1445039,2,United States of America,Vikramjit Singh,18,22,2,0,81.82,Yes,caught,,K Klein
1445039,2,United States of America,Musa Ahmed,6,21,0,0,28.57,Yes,bowled,,K Klein
1445039,2,United States of America,SA Edwards,2,6,0,0,33.33,Yes,caught,,K Klein
1445039,2,United States of America,NRJ Croes,27,34,4,0,79.41,Yes,caught,,K Klein
1445039,2,United States of America,K Klein,6,18,0,0,33.33,Yes,caught,,K Klein
1445039,2,United States of America,A Dutt,10,21,0,0,47.62,Yes,caught,,K Klein
1445039,2,United States of America,C Floyd,1,6,0,0,16.67,Yes,lbw,,K Klein
1445039,2,United States of America,PA van Meekeren,2,6,0,0,33.33,No,,,K Klein
1445039,2,United States of America,VJ Kingma,1,2,0,0,50.00,Yes,caught,,K Klein
1445039,2,United States of America,SR Taylor,0,6,0,0,0.00,Yes,caught,,K Klein
1445039,2,United States of America,SK Patel,3,10,0,0,30.00,Yes,lbw,,K Klein
1445039,2,United States of America,MD Patel,66,81,8,1,81.48,Yes,caught and bowled,,K Klein
1445039,2,United States of America,Aaron Jones,8,11,2,0,72.73,Yes,lbw,,K Klein
1445039,2,United States of America,Milind Kumar,9,18,1,0,50.00,Yes,bowled,,K Klein
1445039,2,United States of America,Shayan Jahangir,20,39,2,0,51.28,Yes,run out,,K Klein
1445039,2,United States of America,AA Paradkar,12,31,0,0,38.71,Yes,caught,,K Klein
1445039,2,United States of America,Harmeet Singh,20,18,1,2,111.11,Yes,caught,,K Klein
1445039,2,United States of America,SC van Schalkwyk,12,41,0,0,29.27,Yes,lbw,,K Klein
1445039,2,United States of America,NP Kenjige,17,21,1,0,80.95,Yes,lbw,,K Klein
1445039,2,United States of America,J Drysdale,2,6,0,0,33.33,No,,,K Klein
1445039,2,United States of America,United States of America,0,0,0,0,0.00,DNB,,,
1445039,2,United States of America,Netherlands,0,0,0,0,0.00,DNB,,,
1450690,2,United States of America,M van Lingen,5,23,0,0,21.74,Yes,caught,,JI de Villiers
1450690,2,United States of America,JP Kotze,8,15,1,0,53.33,Yes,lbw,,JI de Villiers
1450690,2,United States of America,JN Frylinck,70,89,7,0,78.65,Yes,bowled,,JI de Villiers
1450690,2,United States of America,MG Erasmus,27,49,4,0,55.10,Yes,bowled,,JI de Villiers
1450690,2,United States of America,MB Kruger,1,5,0,0,20.00,Yes,lbw,,JI de Villiers
1450690,2,United States of America,JJ Smit,49,79,3,3,62.03,Yes,bowled,,JI de Villiers
1450690,2,United States of America,JN Loftie-Eaton,17,29,2,0,58.62,Yes,caught,,JI de Villiers
1450690,2,United States of America,JI de Villiers,5,8,1,0,62.50,Yes,caught and bowled,,JI de Villiers
1450690,2,United States of America,BM Scholtz,0,1,0,0,0.00,Yes,caught,,JI de Villiers
1450690,2,United States of America,T Lungameni,0,3,0,0,0.00,No,,,JI de Villiers
1450690,2,United States of America,B Shikongo,3,9,0,0,33.33,No,,,JI de Villiers
