Match ID,innings,batting_team,striker,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1450695,1,United Arab Emirates,R Chopra,9.0,22.0,0.0,0.0,40.91,True,caught,,JJ Smit
1450695,1,United Arab Emirates,V Sukumaran,30.0,45.0,3.0,1.0,66.67,True,lbw,,BM Scholtz
1450695,1,United Arab Emirates,Waseem Muhammad,1.0,4.0,0.0,0.0,25.0,True,caught,,T Lungameni
1450695,2,Namibia,JP Kotze,40.0,63.0,6.0,0.0,63.49,True,caught,,V Sukumaran
1450695,2,Namibia,M van Lingen,67.0,44.0,12.0,2.0,152.27,True,bowled,,Basil Hameed
1450695,2,Namibia,MG Erasmus,59.0,48.0,6.0,3.0,122.92,False,not out,['-'],
1450695,2,Namibia,ZE Green,21.0,21.0,3.0,0.0,100.0,False,not out,['-'],
1450695,2,Namibia,DO Leicher,,,,,,False,DNB,,
1450695,2,Namibia,JJ Smit,,,,,,False,DNB,,
1450695,2,Namibia,JN Loftie-Eaton,,,,,,False,DNB,,
1450695,2,Namibia,BM Scholtz,,,,,,False,DNB,,
1450695,2,Namibia,T Lungameni,,,,,,False,DNB,,
1450695,2,Namibia,B Shikongo,,,,,,False,DNB,,
1450695,2,Namibia,S Fouch̩,,,,,,False,DNB,,
1450696,1,Canada,A Johnson,10.0,17.0,2.0,0.0,58.82,True,caught and bowled,,LN Rajbanshi
1450696,1,Canada,Akhil Kumar,0.0,1.0,0.0,0.0,0.0,False,not out,['-'],
1450696,1,Canada,D Heyliger,30.0,27.0,2.0,2.0,111.11,True,caught,,LN Rajbanshi
1450696,1,Canada,H Thaker,27.0,64.0,1.0,0.0,42.19,False,not out,['-'],
1450696,1,Canada,Kaleem Sana,10.0,8.0,0.0,1.0,125.0,True,caught,,Sompal Kami
1450696,1,Canada,NR Kirton,73.0,44.0,3.0,6.0,165.91,True,run out,,DS Airee
1450696,1,Canada,NS Dhaliwal,48.0,95.0,4.0,0.0,50.53,True,caught,,Gulsan Jha
1450696,1,Canada,Pargat Singh,17.0,36.0,0.0,1.0,47.22,True,lbw,,S Lamichhane
1450696,1,Canada,S Movva,4.0,6.0,0.0,0.0,66.67,True,caught,,RK Paudel
1450696,1,Canada,Saad Bin Zafar,17.0,13.0,1.0,0.0,130.77,True,caught,,Sompal Kami
1450696,2,Nepal,Aasif Sheikh,20.0,32.0,3.0,0.0,62.5,True,caught,,D Heyliger
1450696,2,Nepal,B Sharki,18.0,31.0,2.0,0.0,58.06,True,lbw,,Akhil Kumar
1450696,2,Nepal,DS Airee,8.0,10.0,0.0,0.0,80.0,True,caught,,Ansh Patel
1450696,2,Nepal,Gulsan Jha,15.0,28.0,1.0,0.0,53.57,True,lbw,,D Heyliger
1450696,2,Nepal,K Bhurtel,1.0,10.0,0.0,0.0,10.0,True,lbw,,D Heyliger
